chargingStationId,idTokenId,transactionId,vehicleConnected,chargingStarted,chargingEnded,vehicleDisconnected,durationOfCharging,chargedEnergyInfrastructure,chargedEnergyVehicle,maxCurrent,averageCurrent,startSoC,stopSoc,odometer,chargingSessionState,failureReason
43fc1e04-4b1c-4474-b805-77576f920a1e,a06faa71f598,97fef5f5-15ca-4a4b-b6b3-0ee5f96c53f1,2022-03-16T01:13:52.222Z,2022-03-16T01:14:05.418Z,2022-03-16T01:14:08.699Z,2022-03-16T01:14:08.699Z,3,,,0,,79,79,,FinishedSuccessfully,
43fc1e04-4b1c-4474-b805-77576f920a1e,a06faa71f598,1c109fd9-af18-4ecc-afb1-9cc41e1dedef,2022-03-16T01:15:06.427Z,2022-03-16T01:15:15.692Z,2022-03-16T01:15:15.897Z,2022-03-16T01:15:15.897Z,0,,,0,,79,79,,FinishedSuccessfully,
43fc1e04-4b1c-4474-b805-77576f920a1e,a06faa71f598,9f39a364-118c-4a32-be83-8c646f44f6e3,2022-03-16T01:16:17.123Z,,,2022-03-16T01:16:22.196Z,0,,,,,,,,FinishedSuccessfully,
43fc1e04-4b1c-4474-b805-77576f920a1e,a06faa71f598,72be97a2-6ad5-4192-b61a-1776a455db22,2022-03-21T15:28:59.568Z,2022-03-21T15:29:06.156Z,2022-03-21T15:29:25.294Z,2022-03-21T15:29:25.294Z,19,,,0.035,0.030263158,17,17,,FinishedSuccessfully,
43fc1e04-4b1c-4474-b805-77576f920a1e,a06faa71f598,bee1727f-6365-4347-ab38-868143d01428,2022-03-21T15:31:58.564Z,2022-03-21T15:32:05.161Z,2022-03-21T15:32:24.349Z,2022-03-21T15:32:24.349Z,19,,,0.016,0.012210527,18,18,,FinishedSuccessfully,
43fc1e04-4b1c-4474-b805-77576f920a1e,a06faa71f598,bb9c4b7a-0da3-49db-b3fa-c3c3bed95ae2,2022-03-21T15:38:34.771Z,,,2022-03-21T15:38:58.916Z,0,,,,,,,,FinishedSuccessfully,
43fc1e04-4b1c-4474-b805-77576f920a1e,a06faa71f598,405d6057-9c36-4b58-b1a2-c6f63e3fbe75,2022-03-21T15:40:22.769Z,,,2022-03-21T15:40:46.929Z,0,,,,,,,,FinishedSuccessfully,
43fc1e04-4b1c-4474-b805-77576f920a1e,a06faa71f598,4489fff0-3321-4329-a252-45c277a72d44,2022-03-21T23:09:29.323Z,,,2022-03-21T23:09:53.48Z,0,,,,,,,,FinishedSuccessfully,
43fc1e04-4b1c-4474-b805-77576f920a1e,a06faa71f598,6c7ef11d-fee2-4c56-a202-4f8aedabda03,2022-03-21T23:13:14.185Z,,,2022-03-21T23:13:20.867Z,0,,,,,,,,FinishedSuccessfully,
43fc1e04-4b1c-4474-b805-77576f920a1e,a06faa71f598,decd41bf-8cb0-429d-ac64-1ed0b44c27a1,2022-03-21T23:15:11.307Z,,,2022-03-21T23:15:20.068Z,0,,,,,,,,FinishedSuccessfully,
43fc1e04-4b1c-4474-b805-77576f920a1e,a06faa71f598,6878a3a0-8b27-4f05-8f79-abd1d44d0ecc,2022-03-21T23:17:13.904Z,,,2022-03-21T23:17:23.064Z,0,,,,,,,,FinishedSuccessfully,
43fc1e04-4b1c-4474-b805-77576f920a1e,a06faa71f598,692a004f-6c78-4b2f-8d4f-5598c8c7991c,2022-03-21T23:19:57.6Z,,,2022-03-21T23:20:06.586Z,0,,,,,,,,FinishedSuccessfully,
43fc1e04-4b1c-4474-b805-77576f920a1e,a06faa71f598,dba2753a-92af-4ad9-bcfe-e2f177c3700f,2022-03-21T23:25:34.21Z,,,2022-03-21T23:25:43.689Z,0,,,,,,,,FinishedSuccessfully,
43fc1e04-4b1c-4474-b805-77576f920a1e,a06faa71f598,7eba245b-a6f6-470d-8ad8-68d3d5947243,2022-03-21T23:28:12.673Z,,,2022-03-21T23:28:17.939Z,0,,,,,,,,FinishedSuccessfully,
